participantID,videoID,condition,time,C3_mu_suppression,O1_alpha_suppression,C4_mu_suppression,O2_alpha_suppression,Central_suppression,Occipital_suppression,rating,targetRating,ratingChange,ratingChangeCategorical,targetRatingChange,targetRatingChangeCategorical,detectChange
102,AF1M_008,both,3,-0.565313809,0.573002869,-0.138586163,0.475423697,-0.351949986,0.524213283,50,85.63333333,,,,,
102,AF1M_008,both,6,-0.382992252,0.920057215,-0.073203404,0.319770387,-0.228097828,0.619913801,49.33466667,63.76666667,-0.665333328,Decrease,-21.86666667,Decrease,TRUE
102,AF1M_008,both,9,-0.476082675,0.037041272,0.06820825,0.350860974,-0.203937213,0.193951123,45,41.31666667,-4.334666672,Decrease,-22.45,Decrease,TRUE
102,AF1M_008,both,12,-0.318453731,0.44250638,0.470003629,0.594207233,0.075774949,0.518356807,45,41.3,0,Maintain,-0.016666667,Decrease,FALSE
102,AF1M_008,both,15,-0.565313809,-0.068319244,0.111225635,0.298492989,-0.227044087,0.115086873,45,41.3,0,Maintain,0,Maintain,TRUE
102,AF1M_008,both,18,-1.011600912,-0.028710106,-0.399599989,-0.405465108,-0.705600451,-0.217087607,42.33499867,41.3,-2.665001331,Decrease,0,Maintain,FALSE
102,AF1M_008,both,21,-0.990981624,-0.674455048,-0.571450246,-0.014598799,-0.781215935,-0.344526924,39.667,41.3,-2.667998669,Decrease,0,Maintain,FALSE
102,AF1M_008,both,24,-0.723918839,0.10724553,-0.29951653,-0.090971778,-0.511717685,0.008136876,40.99933333,40.05,1.332333333,Increase,-1.25,Decrease,FALSE
102,AF1M_008,both,27,-0.620122046,-0.693147181,-0.382208246,-0.208754814,-0.501165146,-0.450950998,38,29.91666667,-2.999333333,Decrease,-10.13333333,Decrease,TRUE
102,AF1M_008,both,30,-0.062520357,0.090151097,-0.29951653,-0.173663494,-0.181018444,-0.041756199,38,22.15,0,Maintain,-7.766666667,Decrease,FALSE
102,AF1M_008,both,33,-0.739667196,0.512710638,-0.011834458,0.083381609,-0.375750827,0.298046124,38,21.5,0,Maintain,-0.65,Decrease,FALSE
102,AF1M_008,both,36,-0.875468737,-0.163629424,0.023256862,-0.263814591,-0.426105938,-0.213722008,38,21.5,0,Maintain,0,Maintain,TRUE
102,AF1M_008,both,39,-0.592342481,0.00938974,-0.223143551,-0.12323264,-0.407743016,-0.05692145,37,30.53333333,-1,Decrease,9.033333333,Increase,FALSE
102,AF1M_008,both,42,-0.046520016,0.226910034,0.302280872,0.298492989,0.127880428,0.262701512,34.50033333,37.98333333,-2.499666667,Decrease,7.45,Increase,FALSE
102,AF1M_008,both,45,-0.634306681,0.00938974,-0.592503655,0.014388737,-0.613405168,0.011889239,33,32.7,-1.500333333,Decrease,-5.283333333,Decrease,TRUE
102,AF1M_008,both,48,-0.371942416,0.326993493,-0.060624622,-0.427444015,-0.216283519,-0.050225261,33,32.7,0,Maintain,0,Maintain,TRUE
102,AF1M_008,both,51,-0.248072934,0.800392711,-0.681451141,0.083381609,-0.464762038,0.44188716,33,32.7,0,Maintain,0,Maintain,TRUE
102,AF1M_008,both,54,-0.451985124,0.478224462,0.142316222,0.457241378,-0.154834451,0.46773292,33,29.73333333,0,Maintain,-2.966666667,Decrease,FALSE
102,AF1M_008,both,57,-0.51335407,0.821357839,0.239479971,-0.075223421,-0.13693705,0.373067209,33.50166467,22.8,0.501664671,Increase,-6.933333333,Decrease,FALSE
102,AF1M_008,both,60,-0.328925031,0.313294648,0.447697872,0.122602322,0.059386421,0.217948485,40.33399867,22.8,6.832333999,Increase,0,Maintain,FALSE
102,AF1M_008,both,63,0.369471505,0.448548694,0.057158414,0.410284395,0.21331496,0.429416545,42.668,22.8,2.334001331,Increase,0,Maintain,FALSE
102,AF1M_008,both,66,-0.875468737,0.063948725,-0.223143551,0.056352937,-0.549306144,0.060150831,43.00066667,22.8,0.332666667,Increase,0,Maintain,FALSE
102,AF1M_008,both,69,-0.739667196,0.156842471,-0.530628251,0.042559614,-0.635147724,0.099701043,44,22.8,0.999333333,Increase,0,Maintain,FALSE
102,AF1M_008,both,72,-0.912510009,0.204095356,-0.382208246,-0.029413885,-0.647359128,0.087340736,42.32933466,22.8,-1.670665341,Decrease,0,Maintain,FALSE
102,AF1M_008,both,75,-0.663294217,0.10724553,0.01169604,0.475423697,-0.325799089,0.291334614,36.832668,22.8,-5.496666661,Decrease,0,Maintain,FALSE
102,AF1M_008,both,78,-0.875468737,0.609560464,-0.060624622,0.135341348,-0.46804668,0.372450906,33.33099933,22.8,-3.501668665,Decrease,0,Maintain,FALSE
102,AF1M_008,both,81,-1.245215763,-0.058268908,-0.098845835,-0.075223421,-0.672030799,-0.066746165,31.166,20.88333333,-2.164999332,Decrease,-1.916666667,Decrease,TRUE
102,AF1M_008,both,84,-1.011600912,0.594056278,0.089948237,0.014388737,-0.460826338,0.304222508,31,16.83333333,-0.166,Decrease,-4.05,Decrease,TRUE
102,AF1M_008,both,87,-0.51335407,-0.141650517,0.034685558,0.330241687,-0.239334256,0.094295585,31,16.8,0,Maintain,-0.033333333,Decrease,FALSE
102,AF1M_008,both,90,-0.857450232,0.063948725,-0.098845835,0.276753002,-0.478148034,0.170350864,31,17.55,0,Maintain,0.75,Increase,FALSE
102,AF1M_008,both,93,-0.95097629,0.664437075,-0.035932009,0.457241378,-0.49345415,0.560839227,31.3356587,42.51666667,0.335658699,Increase,24.96666667,Increase,TRUE
102,AF1M_008,both,96,-0.708414653,0.693147181,-0.08594243,0.056352937,-0.397178542,0.374750059,40.67465602,96.73333333,9.338997323,Increase,54.21666667,Increase,TRUE
102,AF1M_008,both,99,-1.098612289,-0.099090903,-0.111917916,-0.362905494,-0.605265103,-0.230998199,46,87.13333333,5.325343979,Increase,-9.6,Decrease,FALSE
102,AF1M_008,both,102,-1.032654321,0.392806711,0.079137321,0.371063681,-0.4767585,0.381935196,46.00133601,81.8,0.001336005,Increase,-5.333333333,Decrease,FALSE
102,AF1M_008,both,105,-0.476082675,0.649766885,-0.237958637,0.586175061,-0.357020656,0.617970973,49.166668,81.8,3.165331997,Increase,0,Maintain,FALSE
